class,description
0,"A siege at a south Russian school goes into the night, with a group holding at least 200, many of them children."
2,President George W. Bush #39;s nomination of Cuban-born Carlos M. Gutierrez for Commerce secretary fits neatly into a long-term strategy of boosting Republican prospects for national 
1, EDINBURGH (Reuters) - Amateur prodigy Michelle Wie will  spend an uninterrupted few weeks studying at Punahou High  School in Honolulu before the 15-year-old returns to learning  her trade as a would-be professional golfer.
0,The killing of a Palestinian resistance activist in Syria on Sunday bears all the hallmarks of an Israeli hit. Tel Aviv has yet to claim responsibility for the assassination of Izz 
0,"The decapitated bodies of three men, their heads strapped to their backs and the corpses put in nylon bags, were found dumped by a roadside north of Baghdad Wednesday, Iraqi police and US officials said."
3,"After its recent delays and missteps, chip maker sets its sights on a dual-core future."
2, TOKYO (Reuters) - The dollar stalled on Wednesday after  weaker-than-expected U.S. economic data failed to provide new  direction for the market and focus shifted to what the Federal  Reserve would say after an expected rate rise next week.
1, PHILADELPHIA (Sports Network) - Owners on Thursday  unanimously voted to extend the term of baseball commissioner  Bud Selig for three years through 2009.
3,Skulls program proved that PDA and Mobile viruses are finally becoming a reality and it is no longer safe to just download anything from the Internet on your mobile handset.
0,"Reuters - Truckers drove into Manipur on Wednesday under troop protection, despite fears of attacks by protesters trying to impose a 16-day blockade, police said."
1,"The expression rarely changes, but for a moment, Orlando Magic point guard Jameer Nelson let his guard down. An all-American point guard and consensus college player of the year last season at St."
2,"The US government #39;s ban on cross-border gambling is an unfair trade barrier against the island nation of Antigua, the World Trade Organization said."
3,"Vodafone launches its third-generation services for mobile phones, offering video calls, music downloads and games."
3,NEW YORK - A row over intellectual property claims from Microsoft Corp. has dealt a fatal blow to an ambitious effort by Internet engineers to create a technical standard for curbing junk e-mail.
2,Barbara Stymiest has resigned as chief executive of TSX Group Inc. to assume the newly created role of chief operating officer at Royal Bank of Canada.
3,Two US Interior Department agencies may clash over separate and apparently incompatible efforts to help the northern sage grouse. The Fish and Wildlife Service is trying to 
1,"By the time Dan Wheldon took the checkered flag Sunday at the Firestone Indy 225, thousands in the crowd had already begun marching toward the exits."
3,"NEW HAVEN, Conn. -- Slower growth and reduced profits will likely squeeze three of the nation #39;s top 10 personal computer manufacturers out of the market by 2007, a research firm predicted Monday."
3,ANOTHER haven from annoying ring tones and loud personal conversations is being closed off as researchers work on ways to make mobile phones available on aircraft.
2,"Coca-Cola on Friday agreed to alter its sales practices in some European markets, an offer likely to bring to an end a five-year investigation by the European Commission into whether the soft drinks giant was stifling retail competition."
0," VIENNA (Reuters) - Nearly 380 tons of explosives are  missing from a site near Baghdad that was part of Saddam  Hussein's dismantled atom bomb program but was never secured by  the U.S. military, the United Nations said Monday."
1,"Using a three-stop strategy, Ferraris Brazilian number two won the Chinese Grand Prix while Fernando Alonso finished fourth."
1,"CHICAGO -- Brett Favre worked up a sweat, threw two touchdowns passes in a short workday, and got the Green Bay Packers tuned up for the playoffs."
2,"Ilford Imaging, the world's largest producer of black and white camera film, is up for sale after going into administration."
3,"AP - Improved fish passage on the Penobscot River and recovery of a salt marsh on the west branch of the Pleasant River could bring environmental benefits to the Gulf of Maine, according to a new report."
1," TOKYO (Reuters) - The story leads the TV news, and everyone  from schoolchildren to the prime minister is talking about it."
0,The trial of Slobodan Milosevic on war crimes charges has resumed in The Hague with the former Yugoslav president launching a spirited defense.
2,"Reuters - The U.S. trade deficit widened\nearly 9 percent in October to a record  #36;55.5 billion as\sky-high oil prices helped propel imports into new territory,\the government said on Tuesday."
0,"Reuters - India's two state-run telephone companies will start high-speed Internet services from Jan. 15 at about a sixth of the prevailing prices, a government statement said on Friday."
1,The top-seeded Agassi was eliminated in the semifinals of the Legg Mason Tennis Classic on Saturday in Washington by unseeded Gilles Muller.
0,AP - House and Senate negotiators refused to give ground Wednesday toward a compromise on putting in place the Sept. 11 commission's terror-fighting recommendations. The White House and victims' families appealed for a deal.
2," CHICAGO (Reuters) - Shares of Kos Pharmaceuticals Inc.  &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=KOSP.O target=/stocks/quickinfo/fullquote""&gt;KOSP.O&lt;/A&gt; slumped 8 percent on Thursday after an analyst  suggested Barr Pharmaceuticals Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=BRL.N target=/stocks/quickinfo/fullquote""&gt;BRL.N&lt;/A&gt; could launch a  copycat version of a key Kos drug earlier than expected."
3,"Russia #39;s Federal Space Agency and the US #39;s NASA have approved the crew of the next mission to the international space station, an agency spokesman said Tuesday."
1,"Basel - Two-time Swiss Indoors champion Tim Henman bounced back from his disappointing Madrid Masters performance last week to ease through his first round match at the ATP event here on Wednesday, overwhelming Frenchman Antony Dupuis 6-3, 6-4."
2,"SAN FRANCISCO -- A federal judge on Monday stayed his own ruling that UPS must give deaf and hearing impaired workers the same opportunity as others to become truck drivers, allowing the company to appeal."
1,"Texas will be left out in the cold again, USC #39;s free ride and a break down of who should play in the Orange Bowl. It #39;ll take nothing short of a loss by California or Utah for Mack Brown and Texas to get into the BCS."
0,"Reuters - At least 25 people were feared killed\Tuesday in a collision between two passenger trains in northern\India, television stations reported."
0,"She rode into office three years ago on a wave of public adoration and high expectations, but as the sun sets on her troubled administration, Indonesian President Megawati "
2,"Microsoft Corp. and Sendo Holdings PLC said Monday they have settled litigation between them, and that Microsoft has surrendered its shareholding in the British mobile telephone company."
1,Swimmer Michael Phelps might have turned in his most wonderfully uplifting performance of the Olympics last night. And he didn #39;t even get wet.
3,US-CERT has issued an alert citing several security flaws in Oracle products that could be used to shut down or take control of vulnerable systems or to corrupt or steal data from Oracle databases.
3,"The latest massively multiplayer game is aiming to provide a softer, gentler experience for those intimidated by the original EverQuest. For the most part, it succeeds. Review by Daniel Terdiman."
1,The grade on the report card was  quot;F. quot; The University of Nevada was one of four colleges that failed to meet the standards for a football coaching search as outlined by the Black Coaches Association.
1,They don #39;t call it the Grand National Drunk for nothing. Temptations abound during Grey Cup Week and it #39;s easy for players on both sides to get caught up in all the hoopla.
2,"SunTrust Banks (NYSE: STI) will close about 60 branches after the completion of its acquisition of Memphis, Tenn.-based National Commerce Financial Corp."
2,The Bush administration is moving toward releasing oil from the nation's emergency stockpiles as a result of disruptions to production and imports caused by Hurricane Ivan.
1,"He actually considered floating away into retirement with his new bride aboard his yacht Privacy, never to be seen on a golf course again."
2,"A shocking expose hit the Street last week about one of the best-loved, most all-American companies out there: Fannie Mae, the mortgage and financial services giant."
1," FLOWERY BRANCH, Ga. (Sports Network) - The Atlanta Falcons  Monday signed Pro Bowl tight end Alge Crumpler to a six-year  contract extension."
0,The election for president in Afghanistan may have brought us one small step closer to worldwide democracy. At least the people there left no doubt that they wanted to vote.
1,One of the best things that could happen to tennis would be for Marat Safin to return consistently to the form that enabled him to capture the 2000 US Open title - and at last there were signs of this yesterday as the charismatic Russian won his first 
2,ROYAL Dutch Shells dual structure has been blamed for troubles ranging from poor management to dodgy oil reserve accountancy. So its decision to meet shareholder criticisms by unifying its two holding companies 
0,"A 78-year-old man has became the latest to face sex abuse allegations on the remote British Pacific colony of Pitcairn Island, founded more than 200 years ago by mutineers."
2,"OAK BROOK, Ill. - Fast food giant McDonalds says earnings this quarter will be better than forecast, thanks to rising sales and a lower tax bill."
0,The U.S. official said Monday that the United States made two major mistakes: not deploying enough troops and then not containing the violence immediately after the ouster of Saddam Hussein.
3,"Four senior executives of German chipmaker Infineon agreed to jail time and steep fines for their role in a scheme to fix prices in the memory chip market, the US Department of Justice said Thursday."
3,"KIJAL, Malaysia, Aug 18 (Reuters) - Malaysia, once a major breeding ground, is in danger of losing its ocean-roaming leatherback turtles as humans eat their eggs, trap them in fishing nets and encroach on nesting sites, scientists said on ..."
3,"Launching the latest addition to a now-extensive line of smartphones, Nokia has unveiled the megapixel-enabled 6670 - better described as the serious cousin of the 7610."
2,"Mexico is poised overtake Canada in annual passenger vehicle sales by 2010, a situation one economist says could make it more difficult for Canada to lure future investments from automakers, including the construction of new assembly plants and "
2,Xstrata yesterday threatened to withdraw its hostile 2.9 billion takeover offer for WMC if the Australian miner indicated it would dilute value by paying out up to A\$1 billion in cash to shareholders.
1,"Kevin Jones decided to stop rushing things a few weeks ago, and it helped him turn in the second-best rushing performance for a Lions rookie running back."
2,"wait for it -- is a landlubber. Thursday, services firm EDS (NYSE: EDS) said the bankruptcy filing by US Airways could cut "
1,"TODAY'S GAMES Division 1 BIG THREE -- Brockton at Durfee, 7. GREATER BOSTON -- Arlington at Everett, 7; Cambridge at Peabody, 7; Somerville at Revere, 7."
1,AP - Don't remind any of the New York Jets about their last meeting with the local rival Giants. The Jets' season pretty much fell apart that Saturday night last summer when Chad Pennington broke his right wrist.
0,"MORDECHAI VANUNU, the former technician who exposed Israels secret nuclear weapons programme, was detained by Israeli police for several hours yesterday, seven months after completing an 18-year prison sentence for treason."
2,"Werner Seiffert, the chief executive of the Deutsche Brse, the German stock market, has made little secret of his determination to expand into London."
2,"NEW YORK - Tenet Healthcare Corp. said Tuesday its loss narrowed in the third quarter, as the operator of acute-care hospitals significantly reduced its loss from continuing operations."
1,AP - University of Massachusetts police arrested 35 people early Wednesday morning after the Red Sox tied the Yankees in the sixth game of the American League Championship Series.
3,"AP - On a spring day in 1990, there was chaos near the border of Yellowstone National Park. Bison were running. Hunters were facing off with activists who were trying to keep them from killing the bison. And D.J. Schubert was in the thick of it, leading the protesters."
2," BEIJING (Reuters) - Wal-Mart Stores Inc., the world's  biggest retailer, gave ground to Chinese pressure Tuesday and  said it would allow its workers to set up a trade union."
2,"After much speculation that it would raise its bid yet again, Oracle Corp. Monday morning announced its latest offer for PeopleSoft Inc."
3,XP-based tablets have gotten a lukewarm reception so far. But Microsoft hopes to tempt consumers with improved features.
3,"Advanced Micro Devices (AMD) has expanded its increasingly popular mobile line of chips, named Sempron. The new processor has higher performance and integrated EVP anti-virus technology."
3,Both HP and Sun claimed they were the worldwide leader in storage systems. Sun Microsystems announced that its Network Storage division took the leading position in UNIX disk storage systems factory revenue 
0,"NEW YORK - Fox News Channel's Bill O'Reilly made a TV talk show appearance on what he said was ""the worst day of my life"" Thursday, vowing to fight sexual harassment charges by one of his producers.    Accuser Andrea Mackris spoke publicly for the first time, saying she felt threatened by her former boss, who filed a lawsuit charging the woman and her lawyer with extortion..."
3,&lt;strong&gt;Opinion&lt;/strong&gt; SAP hardly to blame
1,"September 24, 2004. The Football Association have released a statement to deny reports that have suggested the role of England manager will be reduced to a part-time position."
2," NEW YORK (Reuters) - The dollar edged higher on Thursday  after a report showed first-time claims for U.S. unemployment  dropped steeply, but traders said its significance for Friday's  widely anticipated payrolls report was limited."
2,"US stocks look to open flat on Monday as investors pause after a busy week on Wall Street, with oil prices ticking higher and the dollar still hovering near record lows."
3,"The government calls it  quot;Operation Web Snare quot;, catching criminals who do business online. They #39;ve been working since June and today announced dozens of arrests for crimes that cost victims millions of dollars."
1,"The chess game between the NHL and the NHLPA continued Tuesday, with the league rejecting the players #39; offer from last Thursday and tabling a counteroffer, which was in turn rejected by the NHLPA."
2,"Foreign investment declined in 2003 for the third year in a row, a United Nations report has revealed. Last year, total inward flows of foreign direct investment were worth \$560bn (312bn "
1,Rafael Benitez won a prized reputation in Spain as a lucky manager...and hes certainly brought all that good fortune with him to Liverpool.
3,Apple Computer is offering free replacement screens to owners of 15-inch PowerBook models whose machines have a flaw that causes the screen to display white spots.
0,"AP - Honduras tightened security at foreign embassies and declared a national terror alert after receiving information that al-Qaida was trying to recruit Hondurans to attack embassies of the United States, Britain, Spain and El Salvador, a government official said Sunday."
1,"GREEN BAY, Wis. - Chris Brown had touchdown runs of 37 and 29 yards as the Tennessee Titans beat the stumbling Green Bay Packers 48-27 on Monday night."
0,"AFP - US President George W. Bush launched a three-stop bus tour in this up-for-grabs state, hoping to become the first Republican White House hopeful to win Minnesota in 32 years."
0,"NEW DELHI: Pakistan is continuing to send militants into Kashmir to support an insurgency there, but at lower levels than in the past, Indian intelligence sources and military officials said yesterday."
0,MYANMAR #39;S military junta yesterday dismissed the Foreign Minister and his deputy in an unexpected Cabinet reshuffle that saw two other ministers also fired.
0,"BEIJING Sept. 20, 2004 - President Hu Jintao #39;s new status as commander of China #39;s military should strengthen efforts to fight corruption and control a surging economy, forcing resistant lower-level officials "
3,"The Cassini spacecraft zoomed past Saturn #39;s largest moon early Monday, its radars and other science instruments piercing Titan #39;s thick atmosphere in search "
2," NEW YORK (Reuters) - U.S. stocks should hold firm next week  with little economic data or corporate news on tap to move the  market going into the Christmas holiday, strategists said."
2,AMSTERDAM - Dutch diary company Campina announced on Wednesday it would merge with Danish-Swedish firm Arla Foods to create the world #39;s largest farmer-owned diary corporation with an annual turnover of EUR 10 billion.
2," NEW YORK (Reuters) - Berkshire Hathaway Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=BRKa.N target=/stocks/quickinfo/fullquote""&gt;BRKa.N&lt;/A&gt;, the  wide-ranging conglomerate run by billionaire investor Warren  Buffett, posted sharply lower quarterly profit on Friday as its  reinsurance operations paid out large claims from Florida's  hurricanes in August and September."
1,"George Krikorian shows pictures at his eponymous movie theaters, but for the longest time, neither his best runner, Hollywood Story, nor his trainer, John Shirreffs, got their picture taken."
1,Manchester United striker Louis Saha says the arrival of Wayne Rooney will help him to improve his own game. Rooney arrived at Old Trafford in a 27million deal as a transfer deadline signing on Tuesday to 
0,"KABUL, Afghanistan - Two US soldiers died Monday in a fire-fight with insurgents in a troubled southeastern Afghan province, the American military said."
2,"LVMH Moet Hennessy Louis Vuitton SA, the world #39;s largest luxury-goods maker, said first-half profit rose 49 percent as travelers returned to its Asian airport stores and US shoppers bought more champagne and cognac."
1,DAVID BECKHAM and Michael Owen could miss Real Madrid #39;s Champions League clash with Roma tonight as their Bernabeu nightmare goes from bad to worse.
3,palmOne is at the head of a downward spiral of the PDA market according to research group IDC. IDC #39;s figures showed a 8.7 per cent slump year on year for the third quarter of 2004 - the third successive quarter of year on year decline.
3,"Beta Search Engine iZito Supports Human Search Behavior\\iZito has launched a new meta-search engine that makes searching on the Internet easier and quicker. iZito has developed a ""rich user interface"" (RUI) which searchers can use to organize, adjust and even 'park' search results for later viewing. iZito claims to be ..."
2,American businesses would face \$105 billion in higher telephone bills during the next 10 years if the Federal Communications Commission deregulates access to the high-capacity loops that serve business customers.
1,"David Beckham should be fit to return to action for Real Madrid this weekend after a month out with a rib injury, the club said on their website on Wednesday."
3,"Each summer, the falls at McNeil River turn into a mosh pit of bears. Instead of thumping music, it's the sound of salmon slapping their way up the falls at the McNeil River State Game Sanctuary that sends the bears into a fishing frenzy."
1,"Pittsburgh, PA (Sports Network) - Carlos Zambrano tossed 7 1/3 shutout innings to lead the Chicago Cubs to a 1-0 victory over the Pittsburgh Pirates in the middle contest of a three-game set at PNC Park."
1,AP - Alley Broussard ran for a career-high three touchdowns in the first 17 minutes and No. 13 LSU held Mississippi State to seven first downs and 130 yards in a 51-0 victory Saturday.
3,"USATODAY.com - I'm guessing the founders of a San Francisco start-up called OQO are bummed that Microsoft long ago snagged the name Pocket PC for its personal digital assistants. Because Pocket PC might be the ideal moniker for OQO's new model 01 ""ultrapersonal computer""- uPC for short."
0,Pope John Paul II accepts the resignation of an Austrian bishop over a porn scandal at a seminary in his diocese.
1,"ANAHEIM, Calif. -- Carl Pavano decided Saturday he wanted to pitch for the Yankees, and his agent and New York closed in on a four-year contract worth about \$39 million."
0,Tim Henman overcomes a back injury to beat Ivo Karlovic at the US Open.
1, NEW YORK (Reuters) - Albert Pujols homered for the fifth  time in the last four games and drove in five runs as the St  Louis Cardinals routed the Cincinnati Reds 10-5 in National  League play at Busch Stadium on Monday.
3,"Has recalled the power adapters due to a risk of overheating, which could lead to a fire or electrical shock. WASHINGTON: Dell Inc."
1,"Fresh from being released from federal prison last May, former heavyweight champion Riddick Bowe has set up his first comeback bout for Sept. 25"
1,"Still five months shy of opening up their eighth major league campaign, the Arizona Diamondbacks are already working on their fourth manager."
1,"Charline Labonte has served notice she wants to become the next starting goaltender of the Canadian women #39;s hockey team. The 22-year-old from Boisbriand, Que."
3,Security firms are warning about a virus that tries to cash in on interest in David Beckham.
2,Editor #39;s Summary: Microsoft announced that it paid an undisclosed amount to the CCIA trade group so that it won #39;t challenge the software maker #39;s US antitrust settlement or participate in a European Union antitrust case.
2,The outlook for the holiday season brightened Thursday as many of the nation #39;s retailers reported an improvement in sales in October.
2,"New York; September 23, 2004 - The Department of Justice (DoJ), FBI and US Attorney #39;s Office handed down a 10-count indictment against former Computer Associates (CA) chairman and CEO Sanjay Kumar and Stephen Richards, former CA head of worldwide sales."
0,"Telling people off activates a part of the brain linked to enjoyment and satisfaction, say scientists."
0,Reuters - Glenn McGrath celebrated his 100th test by dismissing Virender Sehwag as India were reduced to 35 for two in reply to Australia's first innings 398 on the second day of the third test on Wednesday.
3,A JUDGH HAS ruled that a manufacturer of electronic voting equipment knowingly misrepresented its claims when it sent threatening letters to the ISPs of students who had posted the company #39;s internal documents online.
0,"The European Commission proposes closure of dangerously depleted cod grounds in the North Sea, Irish Sea and off the west of Scotland."
1,"AP - Pedro Martinez, Jason Varitek and more than a dozen other Red Sox free agents might want to take advice from some people who know: Stay in Boston, or you'll regret it."
0,"New Delhi, Nov. 29: Amnesty International, Greenpeace and other non-governmental organisations are working towards establishing a legal framework to make multinational corporations more accountable to peoples needs."
1,"CORDOVA - Collegiate loyalties run deep, and there #39;s no school rivalry any more intense than the one between the Clemson University Tigers and the University of South Carolina Gamecocks, whose fans are even willing to bleed for their teams."
2,"NEW YORK, Aug 18 (Reuters) - Insurance payments to victims of Hurricane Charley are expected to reach \$7.4 billion, making it the second most costly hurricane to hit the United States, an insurance industry group said on Wednesday. "
1,Oakland quarterback Rich Gannon has a broken vertebra in his neck that will sideline him at least six weeks. Gannon had an MRI exam Monday morning and was taken for further tests.
1,Tupe Peko didn #39;t practice Wednesday because he hurt his right foot in last week #39;s 49-14 victory over Houston. Rick DeMulling has been limited in practice because of a bruised chest.
1,"AP - Andy Roddick waited out a rain delay and then held off Tim Henman of Great Britain for a 7-5, 7-6 (6) victory in the first round of the ATP Masters Cup championship Tuesday night."
1,"With Affection comes from off the pace to pass tiring leaders and gallop to an easy victory Saturday in the \$50,000 Japan Racing Association Handicap on the turf at Pimlico."
3,"A German security firm has hired the teen accused of writing the Sasser and Netsky worms, a move that sends a dangerous message to hackers, anti-virus firms said Monday."
2,"International Business Machines Corp. has settled portions of an ongoing lawsuit related to pensions, and will take a charge of \$320 million in the current quarter, the technology company said on Wednesday."
2," WASHINGTON (Reuters) - U.S. securities regulators on  Thursday charged brokerage Raymond James Financial Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=RJF.N target=/stocks/quickinfo/fullquote""&gt;RJF.N&lt;/A&gt;  with fraud over misconduct by a former broker charged with  misappropriating about \$8.7 million in investor funds."
0,"AP - Victims of the Sept. 11 attacks were mourned worldwide Saturday, but in the Middle East, amid sympathy for the dead, Arabs said Washington's support for Israel and the war on terror launched in the aftermath of the World Trade Center's collapse have only fueled anger and violence."
2," WASHINGTON (Reuters) - Amtrak is in another financial hole  after posting a \$1.3 billion operating loss last fiscal year  and again receiving far less than it requested in federal  subsidies, an influential transportation watchdog said on  Sunday."
1,"They will be playing at home and this is not a playoff game, so the Kansas City Chiefs have every reason to expect that they will look like a completely different team when they face the Carolina Panthers on Sunday in a tussle between 0-1 teams."
3,"TheDeal.com - Try lower, says Oracle CEO Larry Ellison on the witness stand in Delaware's Court of Chancery."
0,"New Delhi, Dec. 8 (PTI): Terming the differences between India and Pakistan regarding the proposed Srinagar-Muzaffarabad bus service a  quot;minor hiccup quot;, CPI(M) leader from Jammu and Kashmir Yusuf Tarigami, said he was hopeful of the bus link starting soon."
1,"NEW YORK - Defending World Cup champion Brazil suffered the most shocking result of the day, but China was the biggest loser. The Brazilians lost to Ecuador for the just the second time in their history."
1,"_ Two powerlifters from Azerbaijan have tested positive for banned substances in initial doping tests and are banned for life from the Paralympics, officials said Wednesday."
1,"RICHMOND, Va.  NASCAR hasn #39;t even unveiled its Chase for the Championship and already there #39;s a problem. When it came up with the idea of a 10-race playoff, NASCAR correctly realized there would "
3,"washingtonpost.com - Your name is synonymous with searching the Internet, and you've just raised roughly  #36;1.7 billion from investors by going public. What are you going to do now?"
1,"Swiss world number one Roger Federer will face Australian Lleyton Hewitt in Sunday #39;s final at Masters Cup after an epic tiebreak 20-18 to seal a 6-3, 7-6 semi-final victory "
1,"You remember, of course, Armenian Prince Varazdates and the spectacle of his boxing triumph. And who can forget Zopyros of Athens, wrestling-boxing his way to the junior pankration crown. "
1,(11/08/04) The Washington Redskins grabbed a 17-to-10 win over the Detroit Lions at Ford Field. Clinton Portis ran for 147 yards on 34 carries and threw a tiebreaking touchdown pass.
3,"Strategic conflicts, rampant confusion and election-year politics are slowing the war on terror."
0,"BAGHDAD, Sept. 22. - Iraqi officials recovered a decapitated corpse in western Baghdad today and turned it over to US officials, who were investigating if it was the body of Jack Hensley -he second American "
1,"Now what? Was winning the World Series truly the last hurrah for franchise players Pedro Martinez and Jason Varitek and more than a dozen teammates, including Derek Lowe and Orlando Cabrera , who are eligible for free agency?"
2,NORTON -- Several players said yesterday they were thrilled to hear that the Deutsche Bank Championship has committed for two more years at TPC Boston.
0,Canadian Press - MIAMI (AP) - Hundreds of thousands of people were told Wednesday to get ready to evacuate as powerful hurricane Frances crept closer to Florida just weeks after hurricane Charley's rampage.
2," NEW YORK (Reuters) - Delta Air Lines Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=DAL.N target=/stocks/quickinfo/fullquote""&gt;DAL.N&lt;/A&gt; on Friday  forecast a much wider third-quarter loss than Wall Street had  estimated because of weak domestic fares and a spike in fuel  costs, driven by record-high oil prices."
1,"AP - The Luckeyes' magic is alive and well. Ohio State made up for a shoddy day offensively by forcing five turnovers, and Mike Nugent tied a school record with five field goals to give the ninth-ranked Buckeyes a 22-14 victory over North Carolina State on Saturday."
2,"NEW YORK (Reuters) - Google Inc., the Web search engine, on Wednesday slashed the price range on its eagerly awaited initial public offering to between \$85 and \$95 per share from \$108 to \$135 per share. "
2,"Shocked by a mediocre post-Thanksgiving weekend, merchants are rushing to mark down their merchandise - before the majority of holiday shoppers have even seen it."
2,The World Trade Organization (WTO) launched negotiations on trade facilitation at a meeting on Monday. WTO members agreed on a work plan and a schedule of meetings on negotiations 
3,Hitachi Global Storage Technologies is launching a new line of 1.8-inch Travelstar C4K60 hard drives. The new drives will feature high-density 30GB platters and ZIF (zero insertion force) connectors for use 
3,"SEPTEMBER 06, 2004 (IDG NEWS SERVICE) - Even though Microsoft Corp. #39;s much-anticipated Longhorn has been stripped of its unified file system and some of its other key Longhorn technologies will be available for Windows XP and Windows Server 2003, the next "
3,"iPass wireless-broadband users will be able to make Internet connections on the fly, thanks to a new agreement between iPass and Boeing #39;s Connexion in-flight Internet service."
1, BLOOMFIELD HILLS (Reuters) - Holders Europe began to peg  back a fast start by the United States as the 35th Ryder Cup  approached its climax in the last-day singles on Sunday.
1,"Looking powerful and focused, Jennifer Capriati rolled to a 6-0, 6-2, victory over Magui Serna at the United States Open on Monday."
2,"Bank of America Corp. (NYSE: BAC) plans to cut about 2.5 percent, or 4,500 jobs from its workforce, and it #39;s unclear how those cuts will affect Austin employees."
0,"Russia is working on new nuclear missile systems that other powers do not have in order to protect itself against future security threats, President Vladimir Putin said Wednesday."
3,"IBM has launched an alliance with 14 other companies to make Big Blue #39;s Power processor more adaptable and widely used. The partnership, called Power."
0,ELEANOR HALL: Now to the judgment in the sex abuse trial on Pitcairn Island. A short time ago the court on the Island handed down a guilty verdict against all but one of the seven men who had been charged with offences ranging from indecency to rape.
0,"Australia #39;s election campaign is in its final stages, with the country #39;s role in Iraq again a major talking point. Australian Prime Minister John Howard says he does not need to apologize for joining last "
1,"The United States Anti-Doping Agency received an important validation when sprinter Michelle Collins, 33, received an eight-year suspension on Friday."
2,Seventeen De Havilland Dash-8 Q300 turbo-prop aircraft will take over from the Saab 340A planes which currently form the backbone of the airline #39;s provincial network.
1,"Roush Racing driver Matt Kenseth, the defending NASCAR champion, will race Sunday in the Ford 400 at Homestead, Fla., the final event in the Nextel Cup series."
3,"In an effort to increase the integrity of next week #39;s presidential election, five voting machine makers agreed for the first time to submit their software programs to the National Software Reference Library for safekeeping, federal officials said on "
0,"About 5,000 US Marines, British troops and Iraqi forces began an offensive yesterday aimed at clearing insurgents from a cluster of dusty, small towns south of Baghdad."
1,The Seattle Mariner traded left-handed pitcher Randy Williams to the San Diego Padres on Friday for infielder Billy Hogan.
2,The National Science Foundation (NSF) has awarded \$7.5 million over five years to establish the Center for Probing the Nanoscale (CPN) at Stanford University.
1, ATHENS (Reuters) - The United States lost their first  basketball match at the Olympics since 1988 on Sunday when  Puerto Rico gave them a shock 92-73 trouncing.
2,"November 29, 2004  Seoul said yesterday it would be cautious about levying retaliatory tariffs on US products, after the World Trade Organization on Friday gave Korea and six other economies the green light to enact such tariffs in response to a US "
1,"Orlando Cabrera rejoined the Boston Red Sox last night after missing two games to be with his wife in Colombia.  quot;He called me about 10 this morning, and said he was back, quot; Red Sox "
0,"A controversial Italian politician has created a furore by making remarks critical of single mothers. Rocco Buttiglione, who has been proposed as the European Union #39;s new Justice Commissioner, has been quoted "
1,"If you want to get a rise out of a small-market general manager, ask him about the Red Sox being limited by their budget. Already this weekend at the winter meetings, we #39;ve "
1,Ravens defensive back Deion Sanders appears close to returning for Sunday's game against the New York Giants.
0,Reuters - A British man admitted Monday to sending\hoax emails to friends and relatives of people missing since\the Asian tsunami.
2," LUXEMBOURG (Reuters) - The European Commission was wrong to  bar the takeover bid by U.S. telecoms firm WorldCom for rival  Sprint, a European Union court said on Tuesday, annulling the  action taken four years ago."
3,"It #39;s called the book of life but mice, and perhaps humans, can still thrive even when chapters are missing, scientists said Wednesday."
2,A major change is coming to the global steel industry and a galvanized mill in Lackawanna that formerly belonged to Bethlehem Steel Corp.
1,"Nagpur: Batting maestro Sachin Tendulkar today said he was not rushing his comeback to cricket and that with more than a decade #39;s experience, he was prepared to face all kinds of challenge the game could throw at him."
1,"ATHENS France, Britain and the United States issued a joint challenge Thursday to Germany #39;s gold medal in equestrian team three-day eventing. "
0,"The two candidates claiming to be president-elect agreed to negotiations, the first sign of an easing of tensions that have risked leading the nation toward civil war."
1,"Top seed Serena Williams battled her way into the China Open final yesterday, overcoming two service breaks to defeat Vera Zvonareva of Russia, 6-2, 6-3."
2,"The International Monetary Fund announced that the council of governments, stakeholders in the Fund #39;s capital approved yesterday to provide an urgent aid for Iraq estimated at \$ 436 million and representing the first loan from the Fund for Baghdad."
2,TROUBLED UK life assurer Equitable Life yesterday said it had taken a 75 million hit as it moved in line with the rest of the sector and set aside more reserves to address the fact that people are living longer.
1,Manchester City Football Club are prepared to sell Nicolas Anelka in the New Year transfer window. The controversial French striker was blasted by the City fans at the weekend following his comments he wants 
1,"LAKE BUENA VISTA, Fla. (CP) - Tom Lehman and Briny Baird are tied for the lead, and Stephen Ames of Calgary is only four shots behind going into the final round of the Funai Classic golf tournament."
0,UNITED NATIONS (BBC) -- A UN committee has found that sanctions imposed against al-Qaeda and the former Taleban have had little impact on the groups #39; operations.
2,"Some people don #39;t think about federal income taxes until the first week of April. Others jump on them in late January, as soon as their W-2s show up in the mail."
1,"As they've been for much of the past decade, the Redskins are a bad team, and it's going to take Joe Gibbs a while to reverse years of incompetence."
2,"Credit Suisse First Boston expects  quot;good financial results quot; from five cable/multiple systems operators (MSOs), with revenue growth ranging from 10 to 13 and growth in earnings before interest, taxes, depreciation and amortization of 10 to 18."
